REF DU MUSEE,NOM DU MUSEE,Année,REGION,VILLE,PAYANT,GRATUIT,TOTAL,ID MUSEOFILE,NOMDEP,Identifiant Muséofile,Adresse,Code Postal,URL,Latitude,Longitude,geolocalisation
7511504,Musée de la Poste,2020,ILE-DE-France,PARIS,15967,5240,21207,M1116,PARIS,M1116,"34, boulevard de Vaugirard",75731,www.museedelaposte.fr/,48.84156094062689,2.317700895922452,"48.84156094062689, 2.3177008959224517"
7511504,Musée de la Poste,2019,ILE-DE-France,PARIS,12092,804,12896,M1116,PARIS,M1116,"34, boulevard de Vaugirard",75731,www.museedelaposte.fr/,48.84156094062689,2.317700895922452,"48.84156094062689, 2.3177008959224517"
7510102,Musées des Arts Décoratifs - MAD,2019,ILE-DE-France,PARIS,168465,127954,296419,M5021,PARIS,M5021,"107, rue de Rivoli",75001,madparis.fr/francais,48.863218,2.3333,"48.863218, 2.3333"
7510102,Musées des Arts Décoratifs - MAD,2020,ILE-DE-France,PARIS,82878,125991,208869,M5021,PARIS,M5021,"107, rue de Rivoli",75001,madparis.fr/francais,48.863218,2.3333,"48.863218, 2.3333"
7510608,Musée Zadkine,2019,ILE-DE-France,PARIS,16440,22347,38787,M1115,PARIS,M1115,100 bis rue d'Assas,75006,www.zadkine.paris.fr/,48.842793,2.333457,"48.842793, 2.333457"
7510608,Musée Zadkine,2020,ILE-DE-France,PARIS,12317,5595,17912,M1115,PARIS,M1115,100 bis rue d'Assas,75006,www.zadkine.paris.fr/,48.842793,2.333457,"48.842793, 2.333457"
7510703,Musée National Auguste Rodin,2019,ILE-DE-France,PARIS,360654,189985,550639,M5044,PARIS,M5044,77 rue de Varenne,75007,www.musee-rodin.fr/,48.855868,2.31598,"48.855868, 2.31598"
7510703,Musée National Auguste Rodin,2020,ILE-DE-France,PARIS,78952,73856,152808,M5044,PARIS,M5044,77 rue de Varenne,75007,www.musee-rodin.fr/,48.855868,2.31598,"48.855868, 2.31598"
7510501,Musée du Moyen Age-Thermes et Hôtel de Cluny,2019,ILE-DE-France,PARIS,100869,116958,217827,M5003,PARIS,M5003,"6, place Paul Painlevé",75005,www.musee-moyenage.fr/,48.850437,2.344553,"48.850437, 2.344553"
7510501,Musée du Moyen Age-Thermes et Hôtel de Cluny,2020,ILE-DE-France,PARIS,23346,28100,51446,M5003,PARIS,M5003,"6, place Paul Painlevé",75005,www.musee-moyenage.fr/,48.850437,2.344553,"48.850437, 2.344553"
7511617,Palais Galliera - Musée de la Mode de la ville de Paris,2019,ILE-DE-France,PARIS,118165,0,118165,M1108,PARIS,M1108,10 avenue Pierre Ier de Serbie,75116,www.palaisgalliera.paris.fr/,48.86613680546336,2.297248499625773,"48.866136805463356, 2.297248499625773"
7511617,Palais Galliera - Musée de la Mode de la ville de Paris,2020,ILE-DE-France,PARIS,24420,15471,39891,M1108,PARIS,M1108,10 avenue Pierre Ier de Serbie,75116,www.palaisgalliera.paris.fr/,48.86613680546336,2.297248499625773,"48.866136805463356, 2.297248499625773"
7510103,Établissement public du musée d'Orsay et du musée de l'Orangerie - Valéry Giscard d'Estaing - Musée de l'Orangerie,2020,ILE-DE-France,PARIS,119888,111268,231156,M5030,PARIS,M5030,Jardin des Tuileries,75001,www.musee-orangerie.fr/,48.868053,2.326622,"48.868053, 2.326622"
7510103,Etablissement public du musée d'Orsay et de l'Orangerie - Musée de l'Orangerie,2019,ILE-DE-France,PARIS,654134,375791,1029925,M5030,PARIS,M5030,Jardin des Tuileries,75001,www.musee-orangerie.fr/,48.868053,2.326622,"48.868053, 2.326622"
7511601,Musée d'Ennery,2020,ILE-DE-France,PARIS,0,260,260,M5040,PARIS,M5040,"59, avenue Foch",75116,www.guimet.fr/,48.871845,2.281997,"48.871845, 2.281997"
